"id","cat_id","lat","lon","inner_x_diameter","inner_y_diameter","outer_x_diameter","r_eff","thickness","e","angle","dispersion","abslon"
92425,"MWP1G024900+02113",0.2112762,24.9000312,0.0234425,0.0192840,0.0353203,1.13042353049928,0.505473845076268,0.568608159431473,7.580,0.0048430,24.9000312
92426,"MWP1G024425+03359",0.3359003,24.4249894,0.0124611,0.0126132,0.0217044,0.701081856379756,0.392164159744949,0.154829507991811,6.604,0.0013477,24.4249894
92427,"MWP1G031420-01412",-0.1411560,31.4200771,0.0183705,0.0164355,0.0318420,0.983368455881058,0.57204591700528,0.446731488802336,39.224,0.0049501,31.4200771
92428,"MWP1G037542-03970",-0.3969947,37.5420838,0.0130693,0.0129679,0.0208733,0.698531116537316,0.331097249019867,0.124326523534064,0.000,0.0010366,37.5420838
92429,"MWP1G041479+03845",0.3844727,41.4791217,0.0199066,0.0181815,0.0301322,1.00163862218651,0.434125299906867,0.407197124083994,18.833,0.0036181,41.4791217
92430,"MWP1G043163-05099",-0.5099379,43.1628613,0.0102975,0.0105937,0.0180225,0.584501472376106,0.327762931938094,0.234815386122589,30.297,0.0010967,43.1628613
92431,"MWP1G311911+04937",0.4937238,311.9106213,0.0291233,0.0298530,0.0426436,1.51090128394028,0.573647855010758,0.219746999368333,16.592,0.0033973,-48.0893787
92432,"MWP1G311483+03617",0.3616568,311.4828500,0.0142399,0.0152027,0.0242889,0.810149944112334,0.426478509689676,0.350215525244697,10.897,0.0018663,-48.5171500
92433,"MWP1G311004-03548",-0.3548150,311.0044265,0.0337475,0.0303978,0.0469966,1.61750016468185,0.56265490441721,0.434353945595359,45.292,0.0059337,-48.9955735
92434,"MWP1G312760+00734",0.0733984,312.7604271,0.0192409,0.0213503,0.0349811,1.14729807632425,0.668308628538245,0.433402522128715,40.776,0.0051560,-47.2395729
92435,"MWP1G316545+00060",0.0059933,316.5454164,0.0411131,0.0416336,0.0634379,2.17800936031513,0.947173219410595,0.15763104075032,22.886,0.0062548,-43.4545836
92436,"MWP1G326411+00166",0.0165594,326.4106432,0.0164713,0.0137736,0.0277213,0.847117344749326,0.478389928528397,0.548396942954401,19.131,0.0035284,-33.5893568
92437,"MWP1G337226+05733",0.5732650,337.2261804,0.0664079,0.0657137,0.0824721,3.12496962883222,0.681553852939587,0.144214679783887,21.346,0.0095537,-22.7738196
92438,"MWP1G349889+01407",0.1406811,349.8894848,0.0507345,0.0475712,0.0797228,2.62931586982342,1.23027013764413,0.347581102161526,40.911,0.0116783,-10.1105152
92439,"MWP1G358484-04455",-0.4455497,358.4837189,0.1485556,0.1479157,0.2120972,7.51713263362333,2.69584617024021,0.0927167833662068,47.090,0.0484437,-1.5162811
92440,"MWP1G000414-04756",-0.4756052,0.4141517,0.2175151,0.2208886,0.3112727,11.1122526376517,3.97788057385488,0.17410216031722,42.074,0.0357856,0.4141517
92441,"MWP1G007225-02119",-0.2119450,7.2252827,0.0613870,0.0657380,0.0872440,3.19850868410061,1.09747663944707,0.357761446288439,17.644,0.0104866,7.2252827
92442,"MWP1G011895+07508",0.7508270,11.8947933,0.0590263,0.0555192,0.0965028,3.12528908201245,1.59044392752941,0.339560785871561,6.966,0.0063152,11.8947933
92443,"MWP1G010153-03776",-0.3776198,10.1526838,0.0814425,0.0776700,0.1342478,4.35360945587103,2.24071772995023,0.300826213623481,27.267,0.0597514,10.1526838
92444,"MWP1G018658-00495",-0.0495056,18.6577981,0.0168622,0.0178146,0.0316662,1.00154673949586,0.628208355542079,0.322591652192854,12.658,0.0049656,18.6577981
92446,"MWP1G023597+05115",0.5114895,23.5974130,0.0543075,0.0506838,0.0932180,2.93882612735334,1.65139772634378,0.359164135686596,18.341,0.0121539,23.5974130
